Latitude;Longitude;Elevation (metres);Distance (KMs);sin_A
-12.46332;130.83807;37.7;0;-0.020833
-12.46317;130.83791;37.2;0.024;-0.025
-12.46312;130.83786;37;0.032;-0.043011
-12.46253;130.837253;33;0.125;-0.039785
-12.46194;130.836647;29.3;0.218;0.011828
-12.46135;130.83604;30.4;0.311;0.012308
-12.460935;130.835615;31.2;0.376;0.0015152
-12.46052;130.83519;31.3;0.442;-0.019298
-12.46016;130.83482;30.2;0.499;-0.016071
-12.4598;130.83445;29.3;0.555;-0.025
-12.45979;130.83442;29.2;0.559;-0.033333
-12.45978;130.83439;29.1;0.562;-0.028571
-12.45976;130.83433;28.9;0.569;-0.033333
-12.45975;130.83431;28.8;0.572;0
-12.45975;130.8343;28.8;0.573;0
-12.45976;130.8343;28.8;0.574;-0.1
-12.45976;130.83429;28.7;0.575;0
-12.45976;130.83428;28.7;0.576;0
-12.45976;130.83427;28.7;0.577;-0.1
-12.45976;130.83426;28.6;0.578;0
-12.45976;130.83425;28.6;0.579;0
-12.45976;130.83424;28.6;0.58;0
-12.45975;130.83424;28.6;0.581;-0.1
-12.45975;130.83423;28.5;0.582;0
-12.45975;130.83422;28.5;0.584;0
-12.45975;130.83421;28.5;0.585;0
-12.45974;130.83421;28.5;0.586;-0.1
-12.45974;130.8342;28.4;0.587;0
-12.45973;130.83419;28.4;0.588;0
-12.45972;130.83418;28.4;0.59;0
-12.45971;130.83417;28.4;0.592;0
-12.4597;130.83417;28.4;0.593;0
-12.4597;130.83416;28.4;0.594;0
-12.45969;130.83416;28.4;0.595;0
-12.45968;130.83416;28.4;0.596;0
-12.45967;130.83415;28.4;0.597;0
-12.45966;130.83415;28.4;0.599;0
-12.45965;130.83415;28.4;0.6;0
-12.45964;130.83415;28.4;0.601;0
-12.45963;130.83415;28.4;0.602;0
-12.45962;130.83415;28.4;0.603;0
-12.45961;130.83415;28.4;0.604;0.05
-12.4596;130.83416;28.5;0.606;0
-12.45959;130.83416;28.5;0.607;0
-12.45958;130.83417;28.5;0.608;0
-12.45957;130.83417;28.5;0.61;0
